word,frequency
ከሚገኝ,11
ከማፍሰስ,11
ከርሱ,11
ከሱ,11
ከሳሽ,11
ከበሬታ,11
ከተቀበልከው,11
ከክንፎቹ,11
ከዋክብቶች,11
ከዛ,11
ኩል,11
ካየነው,11
ክፋቱ,11
ወንጀለኛ,11
ወደሃል,11
ወደታች,11
ወደኸኛል,11
ወደደችህ,11
ወደድኩት,11
ወዶታል,11
ዉለታ,11
ውሉ,11
ውሳኔ,11
ዓለቴ,11
የለብኝም,11
የለካ,11
የሚራመደው,11
የሚሻ,11
የሚከሰኝ,11
የሚያረሰርስ,11
የሚያዝ,11
የሚፈስ,11
የማትለወጥ,11
የምትመልስ,11
የምትፈሩ,11
የሱሳ,11
የተረሳሁ,11
የተሰወረውን,11
የወደቀውን,11
የወደደ,11
የደከመ,11
የገባልኝ,11
ያላ,11
ያላዩት,11
ያመነ,11
ያስገርማል,11
ያስጨነቀ,11
ያከበረ,11
ያወራሉ,11
ያየሁ,11
ያደረከኝ,11
ያደረግህ,11
ይመቸኛል,11
ይረታል,11
ይረካል,11
ይራመዳል,11
ይሰማናል,11
ይሰዋ,11
ይሰግዳሉ,11
ይሰጣችኋል,11
ይሳናል,11
ይቀርበኛል,11
ይበልሽ,11
ይተዋል,11
ይተጋል,11
ይታለፋል,11
ይናዳል,11
ይንቀሳቀስ,11
ይከበር,11
ይከተሉኛል,11
ይዘምራሉ,11
ይጀምራል,11
ይጨነቅ,11
ይጽና,11
ደመቀ,11
ደምስሶ,11
ደርሼ,11
ደግመህ,11
ገሃነም,11
ገለበጠ,11
ገብቻለሁ,11
ገድሎ,11
ጌት,11
ጎልጎታ,11
ጐርፍ,11
ጐን,11
ጓዴ,11
ጠላታችን,11
ጠቀመኝ,11
ጠበከኝ,11
ጠባ,11
ጠቦት,11
ጠፍቷል,11
ጣሩ,11
ጥቅሜ,11
ጨክኜ,11
ፅዋ,11
ፈልቅቆ,11
ፈተህ,11
ፈወሰው,11
ፈውሰን,11
ፈውሰው,11
ፈውሱ,11
ፈውሶ,11
ሁላችን,10
ሃረግ,10
ሃሩር,10
ሃዘንተኛ,10
ሄድ,10
ሄጌ,10
ሆሆሆሆ,10
ሆንኩ,10
ሆኛለው,10
ለምለም,10
ለቀቅ,10
ለቅሷችን,10
ለተቀመጠው,10
ለተጠሩት,10
ለችግረኞች,10
ለወደቀ,10
ለዋወጠው,10
ለዛሬውስ,10
ሊሆንልን,10
ሊልቅ,10
ሊረዳኝ,10
ሊዘራ,10
ሊያሳይ,10
ሊያውቅልኝ,10
ሊያደርገኝ,10
ሊያደርገው,10
ሊጠቅመው,10
ሊፈጽመው,10
ላላገኝ,10
ላልሰሙ,10
ላረፉበትማ,10
ላርቅህ,10
ላውጋችሁ,10
ላያገኘኝ,10
ላገልግል,10
ልምላሜ,10
ልሾመው,10
ልቀደስ,10
ልቁም,10
ልኬ,10
ልወቅ,10
ልወድሰው,10
ልዑሉ,10
ልዩነት,10
ልገልጽ,10
ልገልፀው,10
ልጣል,10
ልፈልግ,10
መማረር,10
መሪዎች,10
መስራቱ,10
መሸነጋገል,10
መሾም,10
መባል,10
መተማመን,10
መተኪያ,10
መኝታ,10
መከናወኔ,10
መዋሸት,10
መደገፊያ,10
መገኛዬ,10
መጨረሻዬ,10
መጽሀፍ,10
መጽናኛ,10
መፈጸሙ,10
ሙሽራሽ,10
ሙሾ,10
ሚመራ,10
ሚመች,10
ሚመዝን,10
ሚሞላ,10
ሚተካ,10
ሚከለክልህ,10
ሚከራከር,10
ሚዛኑ,10
ሚዛን,10
ማህተም,10
ማልረባ,10
ማብሸቂያ,10
ማብቂያ,10
ማኖር,10
ማይቻለውን,10
ማደርግበት,10
ማዳኔን,10
ማድ,10
ማጣፈጥ,10
ምልበት,10
ምስራቅ,10
ምናምንቴ,10
ምንጠብቀው,10
ምግቤ,10
ሞተና,10
ሠማይና,10
ሥልጣናት,10
ሥሞች,10
ረስቼ,10
ረዳህ,10
ረግጠህ,10
ርሆቦት,10
ሮጬ,10
ሰላምና,10
ሰራኝ,10
ሰንብቶ,10
ሰዶም,10
ሰግድለታለሁኝ,10
ሰጠኅኝ,10
ሰጡ,10
ሲለቀቅ,10
ሲረዳና,10
ሲርቅ,10
ሲሰባበር,10
ሲሳይ,10
ሲቀያየር,10
ሲቀድ,10
ሲከዳ,10
ሲያይል,10
ሲጀምር,10
ሲገፋ,10
ሲፎክር,10
ሲፎክርብኝ,10
ሳላውቀው,10
ሳልጠራ,10
ሳሞጋግስ,10
ሳትመታን,10
ሳንጎዳ,10
ሳያቅማማ,10
ሳይመለስ,10
ሳይቀየር,10
ሳይበላ,10
ሳይበላኝ,10
ስለተደረገልኝ,10
ስላለኸኝ,10
ስልቱማ,10
ስምክን,10
ስራመድ,10
ስብራት,10
ስታግዘኝ,10
ስትሆነኝ,10
ስትለየኝ,10
ስትረዳኝ,10
ስንዋጋ,10
ስጨነቅ,10
ስፍራዬ,10
ሸምበቆ,10
ሸክላ,10
ሸጥከው,10
ሸፍነህ,10
ቀሚሱ,10
ቀብቶኛል,10
ቀኖች,10
ቀይረህ,10
ቀድሰህ,10
ቀጠለ,10
ቀጥል,10
ቁርጭምጭሚቴ,10
ቃኝተሀል,10
ቅጠል,10
ቆርጬ,10
በሎ,10
በረታሁ,10
በረከትና,10
በሺ,10
በቃላቱ,10
በተመረጠ,10
በነነ,10
በአመንክበት,10
በኩርነትህን,10
በዜማዬ,10
በዝታልናለች,10
በጭንቄ,10
በጸናች,10
ቢሆንልኝማ,10
ቢለው,10
ቢመለስ,10
ቢመች,10
ቢቀር,10
ቢቆጠር,10
ቢነዋወጥ,10
ቢወድ,10
ቢወጣ,10
ቢገለጥ,10
ባለጠግነት,10
ባል,10
ባነሳ,10
ባዩ,10
ባዬ,10
ባይመች,10
ባይቆጣጠረኝ,10
ባይገዛው,10
ባድር,10
ብለሃል,10
ብለናል,10
ብልጫ,10
ብሎሃል,10
ብሞክር,10
ብሰጠው,10
ብቃት,10
ብትሰጥ,10
ብትናወጥ,10
ብትከለክል,10
ብትገል,10
ብነግረው,10
ብደገፍህ,10
ቦታዬ,10
ተመልከተንና,10
ተመስክሮበት,10
ተምሬ,10
ተሰርቷል,10
ተሰጥቶበታል,10
ተስማማሁ,10
ተሸንፌያለሁ,10
ተሸክሞኝ,10
ተሸገርን,10
ተቀምጠሃል,10
ተቀበረ,10
ተቀብያለሁኝ,10
ተባሉ,10
ተብለህ,10
ተነሺና,10
ተንኮል,10
ተከባብደን,10
ተከተለው,10
ተከፈቱ,10
ተወገደ,10
ተወጥተን,10
ተዋርዶ,10
ተዋጅተን,10
ተዘልዬ,10
ተዘጋጅተሃል,10
ተይቬ,10
ተይዣለሁ,10
ተገፍፎ,10
ተጠግቶ,10
ተጣሉ,10
ተጨንቆ,10
ተጽፎ,10
ተፈትቻለሁኝ,10
ተፈጥሯል,10
ታምኛለሁ,10
ታስቀምጣለህ,10
ታስገርማለህ,10
ታናሽ,10
ታገሰ,10
ትቻለሁ,10
ትቼለታለሁ,10
ትንቢቱ,10
ትዕቢቱ,10
ትዕግስትህ,10
ትዘምር,10
ችላለሁ,10
ኃጢያተኛውን,10
ነበርክ,10
ነብሴ,10
ንብረቴ,10
ኖህ,10
ኖሮኝ,10
አለውና,10
አላመልክም,10
አላንጐራጉር,10
አላጓድልም,10
አላጠፋም,10
አልመዝነውም,10
አልበቃ,10
አልበቃኝም,10
አልተለወጠም,10
አልተሸነፈም,10
አልችልምና,10
አልነበረኝ,10
አልወድቅም,10
አልዛቤል,10
አልጐደልኩም,10
አልጠረጥርም,10
አልጠፋሁ,10
አልጨነቅ,10
አመስግንሀለሁኝ,10
አመጣ,10
አማረኝ,10
አምላኬማ,10
አምሮ,10
አምሳል,10
አሰጥሃለሁ,10
አሳቢ,10
አስበህ,10
አስነሳ,10
አስጨንቆት,10
አሸዋዎች,10
አሻግሮ,10
አቁሞ,10
አቅቶት,10
አቆመ,10
አብስልን,10
አተገመትም,10
አታገኝም,10
አትልቀቀኝ,10
አትሞኝ,10
አትስጋ,10
አትቀር,10
አትቁረጥ,10
አትቸኩል,10
አትዘናጋ,10
አትዘገይም,10
አትግታው,10
አትጠራጠረው,10
አትጨነቁ,10
አናውቅም,10
አንኳኩ,10
አንጂ,10
አካላቶቼ,10
አወጣሁልህ,10
አወጣኸኝ,10
አየኸኝ,10
አያመነው,10
አያገኘን,10
አያጓጓኝ,10
አይምሰልህ,10
አይሸነፍም,10
አይሽሩህም,10
አይታማ,10
አይቻለው,10
አይነስህ,10
አይዝል,10
አይጥልህምና,10
አደረ,10
አደረክልኝ,10
አዳኛችን,10
አድርገኸኛል,10
አድርግና,10
አድነኸኛል,10
አድኖኛል,10
አገኙ,10
አገዘኝ,10
አጠራርህ,10
አጥናፍ,10
አጸናለሁ,10
አፅናኝ,10
አፈራ,10
አፍልቆ,10
ኢትዮጵያዊ,10
ኤሊ,10
እለምንሃለሁ,10
እምላካችን,10
እረድቶታል,10
እረግጠህ,10
እረፍቱ,10
እሩጫ,10
እርቅ,10
እሰማሃለሁ,10
እሰማለሁ,10
እሰዋልሃለሁ,10
እሰግድለታለሁ,10
እስረኛ,10
እስኪሆን,10
እስኪጨልም,10
እቤት,10
እብድ,10
እነሳለሁኝ,10
እናመሰግናለን,10
እናንግሰው,10
እንልሃለን,10
እንመለስ,10
እንሰግድለታለን,10
እንሰጣለን,10
እንደሆን,10
እንደማይቆጠሩ,10
እንዲለኝ,10
እንዳላጣው,10
እንዳልረታ,10
እንዳመልከው,10
እንዳትሰጉ,10
እንዳንት,10
እንዳይሄድብኝ,10
እንዳይላላ,10
እንዳገኝ,10
እንገባለን,10
እኛኑ,10
እወድሀለው,10
እወድሃለሁኝ,10
እወድቃለሁ,10
እየሆነ,10
እየተናገረ,10
እየጠሉ,10
እያላቸው,10
እያስደነቀኝ,10
እገለጣለሁ,10
እጹብ,10
እፈልግሃለሁ,10
ኧረኛ,10
ከማመልክህ,10
ከሳሾቼ,10
ከበሮ,10
ከበደኝ,10
ከአርያም,10
ከኢየሱሴ,10
ከጢሻ,10
ከፍሎታል,10
ካህኑ,10
ካልኩት,10
ካረካህ,10
ካሳ,10
ካሻገረኝ,10
ካደረገው,10
ክቡርና,10
ኽረ,10
ወለደ,10
ወስኗል,10
ወደመቅደሱ,10
ወደደኛ,10
ወዳ,10
ወድቀን,10
ወዶኝ,10
ወገቤን,10
ዋጋህን,10
ውረስ,10
ዕለቱ,10
ዘመርኩበት,10
ዘማሪ,10
ዘምበል,10
ዘንድሮማ,10
ዘንግ,10
ዙሪያችን,10
የሆንከው,10
የሌለህበት,10
የሚመልሰው,10
የሚመረምረው,10
የሚምር,10
የሚሞተው,10
የሚረባኝ,10
የሚቀድመው,10
የሚበጅ,10
የሚወዳደር,10
የሚያድነኝ,10
የማልተወው,10
የማረከው,10
የማይረሳኝ,10
የማይቆጨኝ,10
የምረካው,10
የምትወዱ,10
የምችለው,10
የምገኝ,10
የምጠብቀው,10
የራበው,10
የሰማሁት,10
የሸፈንከን,10
የተረፍኩበት,10
የተሰዋህ,10
የተናገረኝ,10
የታመንኩበት,10
የታወቀ,10
የትግሉን,10
የእግዚአብሄርስ,10
የያዝከው,10
የገሃነም,10
የግሌ,10
የጠበከን,10
የጠፋ,10
ያሁሉ,10
ያለፍኩብህ,10
ያመለጥኩብህ,10
ያመሰግኑሃል,10
ያሰበኝ,10
ያሰባሰበን,10
ያሰፋህልን,10
ያሳደርከኝ,10
ያስቀመጥከው,10
ያስፈራል,10
ያቆብ,10
ያበረታኽኝ,10
ያበራ,10
ያብሳል,10
ያወቀኝ,10
ያዘጋጀልኝ,10
ያደረሰኝ,10
ያድን,10
ያፈረሰው,10
ይሁናችሁ,10
ይሁንህ,10
ይሆንልናል,10
ይለኝ,10
ይመሰክራሉ,10
ይረባናል,10
ይሰበር,10
ይሰጠኛል,10
ይስሀቅ,10
ይሸሸዋል,10
ይቀደስ,10
ይቁም,10
ይባረካሉ,10
ይነበብ,10
ይናገረኝ,10
ይናፍቀኛል,10
ይናፍቃል,10
ይከፈታል,10
ይከፈትላችኋል,10
ይክበርልን,10
ይዘው,10
ይዙር,10
ይየው,10
ይደግፈኝ,10
ይግረመኝ,10
ይጠብቃል,10
ይጽናና,10
ይፈልገኛል,10
ደሊላ,10
ደረስኩኝ,10
ደገፈው,10
ደጐ,10
ደፍቼ,10
ዳርቻችንንም,10
ድርሻዬ,10
ድብን,10
ድነናል,10
ድኛለሁና,10
ጀመርኩኝ,10
ጅምር,10
ገሞራ,10
ገበያ,10
ገባበት,10
ገዶት,10
ገፈፍ,10
ገፍቼ,10
ጉስቁልናዬ,10
ጉዞህን,10
ጉድፍ,10
ጋኔን,10
ጌታየ,10
ጌታዬና,10
ግርማዊ,10
ጐህ,10
ጐትቶ,10
ጐዶሎ,10
ጠራሁት,10
ጠናሁት,10
ጠንክር,10
ጠጣሩ,10
ጡጫ,10
ጥርሱን,10
ጥፋቴ,10
ጦሳ,10
ጨምሩ,10
ጨዋ,10
ጴጥሮስ,10
ጸጥታ,10
ፈልጋለሁ,10
ፈልግያለሁ,10
ፈራ,10
ፈቅዶ,10
ፈካሁ,10
ፈዘዙ,10
ፈጠርከኝ,10
ፊደሉን,10
ፍራቻ,10
ፍሰሃ,10
ፍፃሜ,10
ሀገሬ,9
ሁኑ,9
ሄድኩኝ,9
ህመምተኛ,9
ህይወታቸው,9
ህይወትና,9
ህጉ,9
ሆነላት,9
ሆንህ,9
ሆኖልን,9
ሆኖብኝ,9
ለሚያምኑበት,9
ለማቅረብ,9
ለቆ,9
ለወደደን,9
ሊሞላ,9
ሊተካ,9
ሊነካኝ,9
ሊወስደኝ,9
ሊፈጽም,9
ላልገባ,9
ላቆመኝ,9
ላነሳሳ,9
ላውቅ,9
ላደረገልኝ,9
ሌሎቹ,9
ልቀደስልህ,9
ልቁጠረው,9
ልበስ,9
ልክፈት,9
ልደት,9
ልግለጽ,9
ልጠይቅ,9
ልጥገብ,9
መለየቴ,9
መልአክት,9
መልዕክት,9
መርማሪ,9
መርጬሃለሁ,9
መሰማሪያ,9
መቀኘት,9
መባሌ,9
መንበርከክ,9
መንጐችህ,9
መጐብኘት,9
መፈጸም,9
ሚሆነኝ,9
ሚመለሰው,9
ሚሰዋ,9
ሚስት,9
ሚቃጠል,9
ሚባለው,9
ሚቻለው,9
ሚያበረታኝ,9
ሚያዝ,9
ሚጤሰውን,9
ማረከኝ,9
ማሳይህ,9
ማስነሳት,9
ማትወደው,9
ማንጻት,9
ማወደስ,9
ማውጣት,9
ማይቀያየር,9
ማይታክተው,9
ማይነቃነቅ,9
ማይጠፋውን,9
ማጥፋት,9
ምሆነው,9
ምልጃ,9
ምራኝ,9
ምርጥ,9
ምፎክረው,9
ሞልቶታል,9
ሟርተኛው,9
ሥጋቴ,9
ረካሁ,9
ረድኤት,9
ሬሳ,9
ሮጦ,9
ሰማኝ,9
ሰማኸኝ,9
ሰራት,9
ሰርተሃል,9
ሰርቷል,9
ሰርግ,9
ሰብስቦ,9
ሰውነት,9
ሰጥሃለሁ,9
ሰጥቶኝ,9
ሲለምን,9
ሲላቸው,9
ሲቆም,9
ሲበረታ,9
ሲነካኝ,9
ሲወጡ,9
ሲዞር,9
ሲያከብር,9
ሲደርቅ,9
ሲድራቅ,9
ሲጠብቅ,9
ሲጥል,9
ሲጥር,9
ሳላውቅ,9
ሳልቆጥብ,9
ሳልጠራጠር,9
ሳልፈራ,9
ሳንታክት,9
ሳይል,9
ሳይመሽብን,9
ሳይዝል,9
ስላገኘን,9
ስማኝ,9
ስበር,9
ስቦ,9
ስትመለክ,9
ስትደርስ,9
ሸሸ,9
ሸካራ,9
ሻረ,9
ቀለጠ,9
ቀንሶ,9
ቀንበሩ,9
ቀኖቹ,9
ቃሎቹ,9
ቆሙ,9
በልቶ,9
በመቃኔ,9
በእርጋታ,9
በውኑ,9
በዝተዋል,9
በዬ,9
በጠሰው,9
በፀናች,9
ቡቃያ,9
ቢለኝ,9
ቢሉት,9
ቢያጐድል,9
ባርኮ,9
ባይሰጡ,9
ባገኝ,9
ቤቷ,9
ብሎም,9
ብሎናል,9
ብረቱ,9
ብርቅ,9
ብሶቴን,9
ብትወደው,9
ብዪ,9
ብዬው,9
ተለይቶ,9
ተመልክቶ,9
ተምኜ,9
ተሞልቷል,9
ተራራማው,9
ተስማማ,9
ተሸነፈ,9
ተሻገርኩ,9
ተባረረ,9
ተነነ,9
ተናግሯል,9
ተከፍተው,9
ተወደድኩኝ,9
ተዋረደ,9
ተይዤ,9
ተግቶ,9
ተጠላ,9
ተጠግቼ,9
ተፈትኖ,9
ተፈጠረ,9
ታሰማራለህ,9
ታስባለህ,9
ታስደንቃለህ,9
ታወከ,9
ታይታ,9
ታደከኝ,9
ታጠግባለህ,9
ትርፌ,9
ትበልጣለህ,9
ትንፋሽ,9
ችርነትህ,9
ኃያልነት,9
ነሃ,9
ነቃ,9
ነቅቶ,9
ነበርን,9
ነብያት,9
ነገስታት,9
ነግ,9
ኔም,9
አለቅ,9
አለንጋ,9
አላምንም,9
አልረሳኝም,9
አልሰማሁም,9
አልሰግድም,9
አልሰጠው,9
አልወጣልህ,9
አልገባኝም,9
አልገኝ,9
አልጥልሽ,9
አልፈቀደም,9
አመለጠ,9
አመቱ,9
አመንኩ,9
አመንኩት,9
አማረብኝ,9
አምላካችሁ,9
አምልኪ,9
አርነቴ,9
አርፎ,9
አሳርፎኛል,9
አስመለጠ,9
አስቀመጠኝ,9
አስቡ,9
አስተውል,9
አስተውሎ,9
አስቸጋሪ,9
አሸንፎ,9
አትረፈረፈኝ,9
አትራቀኝ,9
አትርሺ,9
አትይ,9
አናት,9
አናውቅህ,9
አን,9
አንባዬ,9
አንቱ,9
አንጽቶኛል,9
አእዋፍ,9
አዋረደ,9
አዘዘ,9
አዛኝ,9
አየኸው,9
አያሳፍር,9
አያውቀኝ,9
አያውቅምና,9
አይመስል,9
አይቆረጥ,9
አይቆጨኝ,9
አይቋረጥም,9
አይበርድም,9
አይችሉም,9
አይኑረኝ,9
አይፈርድ,9
አደረሰኝ,9
አድርገን,9
አድርጎ,9
አድኖ,9
አገራችን,9
አገዛዝህ,9
አጋዤ,9
አጥቦ,9
አፈረሰ,9
ኣላቆም,9
እል,9
እልሃለው,9
እሩቅ,9
እራመዳለሁ,9
እራርተህ,9
እርም,9
እርሾች,9
እርኩሰት,9
እስከፍጻሜው,9
እስኪመጣ,9
እቀኝልሀለሁ,9
እቀደሳለሁ,9
እናመልካለን,9
እናንት,9
እንሰብካለን,9
እንውጣ,9
እንደምትናፍቅ,9
እንዲኖር,9
እንዳለሁ,9
እንዳልሞት,9
እንዳልከኝ,9
እንዳይጠፋ,9
እኖራለው,9
እውሮችም,9
እውቀት,9
እያሳየኝ,9
እያባበለኝ,9
እጃቸው,9
እጆቸን,9
እጠራሃለሁ,9
እጠብቃለሁኝ,9
እፊትህ,9
እፍ,9
ከማን,9
ከበሮዬን,9
ከባድ,9
ከአሪያም,9
ከፍቼ,9
ካልከኝ,9
ካስፈሪው,9
ካየሁት,9
ክብራቸው,9
ክብሯን,9
ክጐኔ,9
ኮቴ,9
ወርውሮ,9
ወሰደው,9
ወስደሃል,9
ወስደህ,9
ወትሮ,9
ወይራ,9
ወደእርሱ,9
ወዳሃለች,9
ወዳለህበት,9
ውጣና,9
ዓይንሽ,9
ዕዳችን,9
ዘም,9
ዘርግተህ,9
ዜግነት,9
የለዉ,9
የለየኸኝ,9
የመረጠህ,9
የመበለት,9
የሚቋቋምህ,9
የሚታደገው,9
የሚነገር,9
የሚያሰኘው,9
የሚያውቀኝ,9
የሚያውቅ,9
የሚያጽናናኝ,9
የሚፈታ,9
የማለ,9
የማልረሳው,9
የማይተኛ,9
የማይተው,9
የምታረካ,9
የምትሰማ,9
የምትበልጥ,9
የሰራህልኝን,9
የሳተ,9
የቀመስኩት,9
የተሰራ,9
የተነሱበትን,9
የተወጋ,9
የተደረገለት,9
የተፈታ,9
የታሰሩት,9
የነሃሱ,9
የኔማ,9
የዋህነት,9
የዳንኩበት,9
የጐበጠ,9
የጨለመ,9
ያለና,9
ያልተሰጠኝ,9
ያልኖረ,9
ያመኑት,9
ያምላኬ,9
ያረግከው,9
ያሻገረኝ,9
ያቆመዋል,9
ያበቃ,9
ያቺ,9
ያችን,9
ያዝከኝ,9
ያየኸው,9
ያግኘኝ,9
ይመራል,9
ይመር,9
ይመሰክራል,9
ይቀጥላል,9
ይበላል,9
ይበርታ,9
ይብሳል,9
ይኑር,9
ይኬዳል,9
ይወድቃል,9
ይጠፋል,9
ደቀቀ,9
ደክሜ,9
ደጋግሞ,9
ዱላ,9
ዳመና,9
ድንበር,9
ገለባ,9
ገላገለኝ,9
ገበና,9
ጊዜያቱ,9
ግቡ,9
ግባቴ,9
ግብ,9
ጠላ,9
ጠራዋለሁ,9
ጠዋትና,9
ጠገበ,9
ጠፋሁ,9
ጠፋዉ,9
ጣቱ,9
ጥለው,9
ጥል,9
ጥቁር,9
ጫና,9
ጫጫታ,9
ጭንቀቱ,9
ጮማ,9
ጽዋዬ,9
ጽድቄ,9
ጽድቅና,9
ፈለኩት,9
ፈረሰኛ,9
ፈሪ,9
ፈርሶ,9
ፈታኝ,9
ፈጸመ,9
ፊታችን,9
ፍሬያማ,9
ፍቅራችን,9
ፍጠን,9
ፍጥረቱ,9
ሀረግ,8
ሃሃሃ,8
ሃይለእኛ,8
ሃይላችን,8
ሃገራችን,8
ሆነበት,8
ሆነናል,8
ሆና,8
ሆኛለሁኝ,8
ሆዬ,8
ለህዝባችን,8
ለሚያዘግም,8
ለምልሞ,8
ለምዶ,8
ለሰከንድ,8
ለሱ,8
ለቆረጠ,8
ለባዕድ,8
ለተቀበሉት,8
ለተጠቃ,8
ለውጦልን,8
ለጥሞና,8
ሊመሰገን,8
ሊረግመኝ,8
ሊያመልክህ,8
ሊያስመልጥ,8
ሊያቆመኝ,8
ሊያከብርህም,8
ሊያደርግ,8
ሊይዘኝ,8
ላልሻ,8
ላረግክልኝ,8
ላርፍ,8
ላሳዝንህ,8
ላንግሰው,8
ላውቀው,8
ላየሁት,8
ላይለቀኝ,8
ላይረካ,8
ላይፈይደኝ,8
ላደርግ,8
ላገለግል,8
ላግኘው,8
ሌላስ,8
ልመስል,8
ልመስክር,8
ልረፍ,8
ልሳን,8
ልስራ,8
ልስጠው,8
ልበረታ,8
ልታድነኝ,8
ልትዋረጂ,8
ልትጠፊ,8
ልናይ,8
ልንገረው,8
ልከህ,8
ልከፍል,8
ልያዝ,8
ልይ,8
ልጀምር,8
ልጠጋ,8
ልጨርሰው,8
ልጽናና,8
መሃላውን,8
መለሳት,8
መለስካት,8
መልህቅ,8
መልሰህ,8
መልሷል,8
መሥጋና,8
መረጥክ,8
መራው,8
መርምረኝ,8
መርቶ,8
መርጠሃል,8
መሰከሩ,8
መሰዋት,8
መሰውያ,8
መስሪያ,8
መሽሸጊያዬ,8
መቀመጤ,8
መቀደሴ,8
መቁረጥ,8
መቅሰፍት,8
መታየቱ,8
መቸገሬ,8
መንክራተቱ,8
መንፈሴና,8
መከናወን,8
መክረህ,8
መዓት,8
መዘዝ,8
መያዣ,8
መደምደሚያየ,8
መደምደሚያዬ,8
መደኃኒቴ,8
መድሃኒቷን,8
መድኃኒታችን,8
መገኘቱ,8
መጠጋት,8
መጥራቱ,8
መፈለግ,8
ሚልኮሎች,8
ሚረባሽን,8
ሚሽር,8
ሚከፍለኝ,8
ሚያሰጋኝ,8
ሚያስረሳ,8
ሚገዳደረው,8
ማልችለው,8
ማሞጋገስ,8
ማሳመር,8
ማሳረፍ,8
ማስዋብ,8
ማወቁ,8
ማዕድ,8
ማይሞከር,8
ማድጋ,8
ማጨዱ,8
ማፍቀሬን,8
ምላሼ,8
ምረት,8
ምሬሻለሁ,8
ምሮኛል,8
ምሳመር,8
ምስጉን,8
ምሶ,8
ምሸፍንበት,8
ምታሸተው,8
ምትቆጠርልኝ,8
ምትፈልገዉ,8
ምንጊዜም,8
ምክኒያት,8
ምድህኔ,8
ምግቡ,8
ምፈልገው,8
ሞላኝ,8
ሞልተሃል,8
ሥራዋ,8
ረሳሁ,8
ረድቶናል,8
ረግረግ,8
ረግጬ,8
ሩቁን,8
ራራልኛ,8
ሬዲዮ,8
ሮሆቦት,8
ሰለቸኝ,8
ሰማለሁ,8
ሰባብረህ,8
ሰብረሃል,8
ሰብረህ,8
ሰብሬ,8
ሰነፎች,8
ሰገደ,8
ሰገድኩኝ,8
ሰጋለሁ,8
ሰጠኸው,8
ሰፋ,8
ሲላት,8
ሲመካ,8
ሲራራ,8
ሲሻሙ,8
ሲሻር,8
ሲከዳኝ,8
ሲያለቅስ,8
ሲያሙ,8
ሲያምኑት,8
ሲያሳርፍ,8
ሲያነሳኝ,8
ሲያንስበት,8
ሲያንኳኳ,8
ሲያወጣኝ,8
ሲያጉረመርም,8
ሲያፈራ,8
ሲያፌዙ,8
ሲጀመር,8
ሲገረም,8
ሲጠማኝ,8
ሲጠራኝ,8
ሲጠብቀኝ,8
ሲጨላልም,8
ሲፈራ,8
ሲፈነጥዙ,8
ሲፈጸም,8
ሳላመልክ,8
ሳልሰራ,8
ሳልጨርስ,8
ሳመዛዝነው,8
ሳታልፍ,8
ሳታፍርብኝ,8
ሳንለያይ,8
ሳየቀር,8
ሳያይ,8
ሳያይዋት,8
ሳይታዘዙ,8
ሳይዘኝ,8
ሳይደርስባቸው,8
ስለርሱ,8
ስለደገፈኝ,8
ስላላገኘን,8
ስላልተገኘ,8
ስላረገች,8
ስላየሁኝ,8
ስላጣ,8
ስልማ,8
ስመላዓለም,8
ስሩ,8
ስትተጋ,8
ስትደልል,8
ስትገንልኝ,8
ስንጠራ,8
ስኬቴ,8
ስዕሎች,8
ስደት,8
ስጋቱ,8
ስጐበኝህ,8
ስጠና,8
ስጡ,8
ሸሽተው,8
ሸፋኝ,8
ሸፍኖኛል,8
ቀለለኝ,8
ቀላቀለኝ,8
ቀረና,8
ቀርበህ,8
ቀሰቀሰው,8
ቀብተ,8
ቀብቶናል,8
ቀደም,8
ቀድሞኝ,8
ቀጥቅጦታል,8
ቁሚ,8
ቅልል,8
ቅርቶ,8
ቅጡ,8
ቆይቷል,8
ቆጥረን,8
ቋጠሮዬን,8
በልቻለሁ,8
በመሰጠት,8
በሚያስደንቅ,8
በሚያነጋው,8
በሚጣፍጥ,8
በማዕዱ,8
በምስጋና,8
በርቱ,8
በርትቼ,8
በሰራኸው,8
በተሰለፈበት,8
በችሎት,8
በኃያልነቱ,8
በአምሳሉ,8
በእርሳችሁ,8
በእሱኛው,8
በእፍኙ,8
በወንጌሉ,8
በውዴታ,8
በዝቷልና,8
በገነነው,8
ቢስ,8
ቢቀበሉ,8
ቢበራማ,8
ቢባርክ,8
ቢዘመር,8
ቢዞሩ,8
ቢያይ,8
ቢደክም,8
ቢገባ,8
ቢፈጠር,8
ባለቀ,8
ባለዉለታዬ,8
ባለፍንበት,8
ባልሆነ,8
ባሏ,8
ባመሰግን,8
ባሞጋግስህ,8
ባረከን,8
ባሪያዎቹ,8
ባርኮኛል,8
ባስብ,8
ባዎጋ,8
ባዘዘበት,8
ባያድን,8
ባፌ,8
ቤትክን,8
ቤዛዬ,8
ብሆር,8
ብሎብህ,8
ብሏልና,8
ብርሃኔና,8
ብርቄ,8
ብሰግድ,8
ብትሄድ,8
ብትወደኝ,8
ብትፈርድ,8
ብከፍልህ,8
ብዬማ,8
ብድራቴን,8
ብጐች,8
ብጥልልህ,8
ብጫወት,8
ተለይተው,8
ተመኘ,8
ተረሱ,8
ተረድቻለሁ,8
ተረጋጋ,8
ተረጋጋሁ,8
ተረጋግቷል,8
ተራበ,8
